genus,species,id,year,lat,long,elev,budburst,flowers,fruits,leafout,col.leaves,leafdrop,last.obs,gdd.start,yr.end,type
Populus,deltoides,86278,2018,42.296417,-71.128052,26,117,124,147,124,270,260,260,46,365,Treespotters
Populus,deltoides,86278,2019,42.296417,-71.128052,26,123,NA,123,123,260,260,260,46,365,Treespotters
Populus,deltoides,86278,2020,42.296417,-71.128052,26,125,104,127,126,261,261,261,46,366,Treespotters
Populus,deltoides,86279,2017,42.296417,-71.128052,26,107,109,124,124,231,236,236,46,365,Treespotters
Populus,deltoides,86279,2018,42.296417,-71.128052,26,117,124,147,124,236,236,236,46,365,Treespotters
Populus,deltoides,86279,2020,42.296417,-71.128052,26,126,113,132,132,255,261,261,46,366,Treespotters
Populus,deltoides,86280,2016,42.296417,-71.128052,26,122,NA,NA,136,286,304,304,46,366,Treespotters
Populus,deltoides,86280,2017,42.296417,-71.128052,26,107,109,124,124,239,239,239,46,365,Treespotters
Populus,deltoides,86280,2018,42.296417,-71.128052,26,117,124,147,129,251,251,251,46,365,Treespotters
Populus,deltoides,86280,2020,42.296417,-71.128052,26,125,113,127,132,255,261,261,46,366,Treespotters
Populus,deltoides,86281,2017,42.296417,-71.128052,26,107,109,124,124,231,236,236,46,365,Treespotters
Populus,deltoides,86281,2018,42.296417,-71.128052,26,117,121,147,124,236,236,236,46,365,Treespotters
Populus,deltoides,86281,2019,42.296417,-71.128052,26,123,109,123,128,238,238,238,46,365,Treespotters
Populus,deltoides,86281,2020,42.296417,-71.128052,26,125,113,127,127,255,261,261,46,366,Treespotters
Populus,deltoides,86282,2016,42.296417,-71.128052,26,127,101,NA,133,229,229,229,46,366,Treespotters
Populus,deltoides,86282,2017,42.296417,-71.128052,26,102,109,NA,120,231,236,236,46,365,Treespotters
Populus,deltoides,86282,2018,42.296417,-71.128052,26,117,121,NA,118,236,236,236,46,365,Treespotters
Populus,deltoides,86282,2019,42.296417,-71.128052,26,123,104,NA,128,229,229,229,46,365,Treespotters
Populus,deltoides,86282,2020,42.296417,-71.128052,26,125,103,NA,127,255,261,261,46,366,Treespotters
Quercus,alba,87756,2016,42.296417,-71.128052,26,115,NA,NA,133,280,291,291,46,366,Treespotters
Quercus,alba,87756,2017,42.296417,-71.128052,26,117,NA,260,120,288,288,288,46,365,Treespotters
Quercus,alba,87756,2019,42.296417,-71.128052,26,113,NA,NA,123,287,288,288,46,365,Treespotters
Quercus,alba,87756,2020,42.296417,-71.128052,26,123,127,NA,125,272,289,289,46,366,Treespotters
Quercus,alba,87758,2016,42.300278,-71.124771,30,115,130,NA,282,282,282,282,46,366,Treespotters
Quercus,alba,87758,2017,42.300278,-71.124771,30,118,118,225,119,271,278,278,46,365,Treespotters
Quercus,alba,87758,2019,42.300278,-71.124771,30,117,NA,183,127,268,286,286,46,365,Treespotters
Quercus,alba,87759,2017,42.300278,-71.124771,30,110,127,NA,124,267,288,288,46,365,Treespotters
Quercus,alba,87759,2019,42.300278,-71.124771,30,117,NA,NA,127,268,268,268,46,365,Treespotters
Quercus,alba,87761,2016,42.300278,-71.124771,30,115,NA,NA,282,282,303,303,46,366,Treespotters
Quercus,alba,87761,2017,42.300278,-71.124771,30,117,NA,266,124,291,300,300,46,365,Treespotters
Quercus,alba,87761,2018,42.300278,-71.124771,30,122,131,NA,123,282,282,282,46,365,Treespotters
Quercus,alba,87761,2019,42.300278,-71.124771,30,111,129,NA,127,286,291,291,46,365,Treespotters
Quercus,alba,88311,2016,42.300278,-71.124771,30,115,NA,NA,282,279,282,282,46,366,Treespotters
Quercus,alba,88311,2017,42.300278,-71.124771,30,110,127,NA,119,257,285,285,46,365,Treespotters
Quercus,alba,88311,2019,42.300278,-71.124771,30,117,126,NA,127,260,NA,260,46,365,Treespotters
Quercus,rubra,86285,2016,42.300278,-71.124771,30,115,NA,304,282,282,282,282,46,366,Treespotters
Quercus,rubra,86285,2017,42.300278,-71.124771,30,117,124,215,118,177,285,285,46,365,Treespotters
Quercus,rubra,86285,2018,42.300278,-71.124771,30,122,128,203,122,282,282,282,46,365,Treespotters
Quercus,rubra,86285,2019,42.300278,-71.124771,30,110,113,161,118,268,268,268,46,365,Treespotters
Quercus,rubra,86286,2016,42.300278,-71.124771,30,127,NA,NA,282,282,282,282,46,366,Treespotters
Quercus,rubra,86286,2017,42.300278,-71.124771,30,119,NA,236,124,270,267,267,46,365,Treespotters
Quercus,rubra,86286,2018,42.300278,-71.124771,30,122,128,NA,125,282,282,282,46,365,Treespotters
Quercus,rubra,86286,2019,42.300278,-71.124771,30,110,126,190,128,260,268,268,46,365,Treespotters
Quercus,rubra,86287,2016,42.300278,-71.124771,30,115,115,NA,127,282,282,282,46,366,Treespotters
Quercus,rubra,86287,2017,42.300278,-71.124771,30,110,NA,NA,113,272,291,291,46,365,Treespotters
Quercus,rubra,86287,2018,42.300278,-71.124771,30,118,128,208,122,272,282,282,46,365,Treespotters
Quercus,rubra,86287,2019,42.300278,-71.124771,30,107,121,158,113,260,260,260,46,365,Treespotters
Quercus,rubra,86288,2016,42.300278,-71.124771,30,115,NA,290,130,289,289,289,46,366,Treespotters
Quercus,rubra,86288,2017,42.300278,-71.124771,30,110,NA,NA,119,271,311,311,46,365,Treespotters
Quercus,rubra,86288,2018,42.300278,-71.124771,30,122,128,260,123,282,296,296,46,365,Treespotters
Quercus,rubra,86288,2019,42.300278,-71.124771,30,107,129,NA,128,268,268,268,46,365,Treespotters
Quercus,rubra,87760,2016,42.300278,-71.124771,30,115,115,NA,127,282,282,282,46,366,Treespotters
Quercus,rubra,87760,2017,42.300278,-71.124771,30,110,NA,NA,117,272,288,288,46,365,Treespotters
Quercus,rubra,87760,2018,42.300278,-71.124771,30,122,128,NA,122,264,282,282,46,365,Treespotters
Quercus,rubra,87760,2019,42.300278,-71.124771,30,107,121,NA,113,260,NA,260,46,365,Treespotters
Tilia,americana,86289,2016,42.296417,-71.128052,26,94,152,NA,118,257,286,286,46,366,Treespotters
Tilia,americana,86289,2017,42.296417,-71.128052,26,98,110,184,107,295,257,257,46,365,Treespotters
Tilia,americana,86289,2018,42.296417,-71.128052,26,121,136,188,122,276,271,271,46,365,Treespotters
Tilia,americana,86289,2019,42.296417,-71.128052,26,115,140,186,115,267,293,293,46,365,Treespotters
Tilia,americana,86289,2020,42.296417,-71.128052,26,116,147,196,125,261,261,261,46,366,Treespotters
Tilia,americana,86290,2016,42.305161,-71.122452,13,111,142,199,115,252,281,281,46,366,Treespotters
Tilia,americana,86290,2017,42.305161,-71.122452,13,107,127,193,113,234,234,234,46,365,Treespotters
Tilia,americana,86290,2018,42.305161,-71.122452,13,118,133,199,121,231,243,243,46,365,Treespotters
Tilia,americana,86290,2019,42.305161,-71.122452,13,109,161,195,114,221,244,244,46,365,Treespotters
Tilia,americana,86290,2020,42.305161,-71.122452,13,120,147,182,126,229,250,250,46,366,Treespotters
