"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","interquartile_range"
"American beech",2016,"Open flowers",86277,126.647058823529,127,17,115,154,12
"American beech",2016,"Recent fruit or seed drop",86273,253,253,2,244,262,9
"American beech",2016,"Recent fruit or seed drop",86274,281,282,3,264,297,16.5
"American beech",2016,"Recent fruit or seed drop",86275,277.875,281.5,8,248,297,17.75
"American beech",2016,"Ripe fruits",86273,274.25,277.5,4,252,290,16.25
"American beech",2016,"Ripe fruits",86275,267.75,268.5,8,248,290,29.25
"American beech",2016,"Ripe fruits",86277,253,252,4,244,264,5
"American beech",2017,"budburst",86273,115.25,115.5,4,109,121,6.75
"American beech",2017,"budburst",86274,115.8125,115,16,103,129,12
"American beech",2017,"budburst",86275,126.379310344828,114,29,89,176,45
"American beech",2017,"budburst",86276,116.916666666667,117.5,12,108,126,9.5
"American beech",2017,"budburst",135343,112.6,113,10,107,118,2.25
