"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","maximn_range","interquartile_range"
"American basswood",2020,"Increasing leaf size",87763,129.142857142857,126,7,119,147,28,10
"American basswood",2020,"leaf drop",86289,293.333333333333,293,6,272,315,43,29.75
"American basswood",2020,"leaf drop",86290,277.055555555556,276,18,236,313,77,37.5
"American basswood",2020,"leaf drop",87757,289.75,293,4,261,312,51,18.75
"American basswood",2020,"leaf drop",87762,274.555555555556,277.5,18,236,306,70,36.75
"American basswood",2020,"leaf drop",87763,272.666666666667,275,21,236,305,69,28
"American basswood",2020,"leafout",86289,169.098591549296,156,71,125,297,172,41.5
"American basswood",2020,"leafout",86290,223.12,224.5,50,126,313,187,87.25
"American basswood",2020,"leafout",87757,169.296875,156,64,125,297,172,49
"American basswood",2020,"leafout",87762,209.878787878788,202,66,126,313,187,105
"American basswood",2020,"leafout",87763,210.105263157895,206,57,119,301,182,101
"American basswood",2020,"Open flowers",86289,186.75,187,4,183,190,7,1.75
"American basswood",2020,"Open flowers",86290,190,190,1,190,190,0,0
"American basswood",2020,"Open flowers",87757,182.571428571429,181,7,177,190,13,5
"American basswood",2020,"Open flowers",87762,179.75,179,4,178,183,5,2.75
"American basswood",2020,"Open flowers",87763,183,183,2,183,183,0,0
"American basswood",2020,"Pollen release (flowers)",86289,207,207,1,207,207,0,0
"American basswood",2020,"Recent fruit or seed drop",86289,245.166666666667,243,6,220,275,55,30
"American basswood",2020,"Recent fruit or seed drop",86290,223.857142857143,220,7,213,236,23,16
"American basswood",2020,"Recent fruit or seed drop",87757,242.444444444444,251,9,220,261,41,35
"American basswood",2020,"Recent fruit or seed drop",87762,229.285714285714,229,7,213,258,45,19.5
"American basswood",2020,"Recent fruit or seed drop",87763,213,213,2,213,213,0,0
"American basswood",2020,"Ripe fruits",86289,245.8,241,10,220,289,69,33.5
"American basswood",2020,"Ripe fruits",86290,166.4,183,5,110,213,103,100
"American basswood",2020,"Ripe fruits",87757,242.555555555556,251,9,220,261,41,35
"American basswood",2020,"Ripe fruits",87762,195.4,239,5,110,258,148,144
"American beech",2016,"budburst",86273,115.565217391304,115,23,101,130,29,11
"American beech",2016,"budburst",86274,122.8,122,15,115,132,17,11.5
"American beech",2016,"budburst",86275,118.125,118,32,97,154,57,14
"American beech",2016,"budburst",86276,123,122,15,115,132,17,10
"American beech",2016,"budburst",86277,123.136363636364,120,22,108,161,53,12
"American beech",2016,"Colored leaves",86273,309.5,309.5,2,306,313,7,3.5
"American beech",2016,"Colored leaves",86274,309.5,309.5,2,306,313,7,3.5
"American beech",2016,"Colored leaves",86275,304,307.5,8,282,316,34,10.25
"American beech",2016,"Colored leaves",86276,309.5,309.5,2,306,313,7,3.5
"American beech",2016,"flowers",86273,120,118,18,111,132,21,8.5
"American beech",2016,"flowers",86274,120.25,118,8,111,130,19,13.25
"American beech",2016,"flowers",86275,121.291666666667,120,24,111,133,22,12
"American beech",2016,"flowers",86276,130.666666666667,130,3,130,132,2,1
"American beech",2016,"flowers",86277,121.526315789474,121,19,111,133,22,12
"American beech",2016,"Fruits",86273,203,203,1,203,203,0,0
"American beech",2016,"Fruits",86275,203.416666666667,201,24,139,282,143,85.5
"American beech",2016,"Fruits",86277,209.055555555556,208.5,18,148,268,120,73.25
"American beech",2016,"Increasing leaf size",86273,128.631578947368,127,19,115,150,35,15
"American beech",2016,"Increasing leaf size",86274,130,131,12,115,142,27,12.5
"American beech",2016,"Increasing leaf size",86275,127.227272727273,127,22,115,142,27,14.25
"American beech",2016,"Increasing leaf size",86276,127.75,128.5,8,118,135,17,9
"American beech",2016,"Increasing leaf size",86277,124.647058823529,124,17,115,135,20,11
"American beech",2016,"leaf drop",86273,309.5,309.5,2,306,313,7,3.5
"American beech",2016,"leaf drop",86274,309.5,309.5,2,306,313,7,3.5
"American beech",2016,"leaf drop",86275,304,307.5,8,282,316,34,10.25
"American beech",2016,"leaf drop",86276,309.5,309.5,2,306,313,7,3.5
